Stage 1 of 3 (L): Inserted 18083 entries in 0.446768 seconds.
Stage 2 of 3 (B): Inserted 13503 entries in 35.1348 seconds.
Stage 3 of 3 (H): Inserted 10709 entries in 12.085 seconds.
"Saved Space","Number Of Duplicates","File Size","List of Names"
1193960,1,1193960,/usr/local/boost_old/include/boost/phoenix/statement/detail/preprocessed/switch_50.hpp;/usr/local/boost/include/boost/phoenix/statement/detail/preprocessed/switch_50.hpp
1170105,1,1170105,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/r/tc_multicolumn_different.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/r/tc_multicolumn_different.result
1159235,1,1159235,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_basic_innodb.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_basic_innodb.result
1092645,3,364215,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/r/comment_column2.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/r/comment_column2.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/r/comment_column2.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/r/comment_column2.result
1092633,1,1092633,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/r/se_string_having.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/r/se_string_having.result
1047831,1,1047831,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_alter1_1_2_innodb.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_alter1_1_2_innodb.result
1034960,1,1034960,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/iuds/r/insert_number.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/iuds/r/insert_number.result
935709,3,311903,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/funcs_1/r/myisam_func_view.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/funcs_1/r/memory_func_view.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/funcs_1/r/myisam_func_view.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/funcs_1/r/memory_func_view.result
923756,1,923756,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/funcs_1/r/storedproc.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/funcs_1/r/storedproc.result
901508,1,901508,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_alter2_2_myisam.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_alter2_2_myisam.result
896525,1,896525,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_alter2_1_myisam.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_alter2_1_myisam.result
889650,5,177930,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/mysql-test-run.pl;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/mysql-test-run.pl;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/mysql-test-run.pl;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/mysql-test-run.pl;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/mysql-test-run.pl;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/mysql-test-run.pl
845443,1,845443,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/funcs_2/r/innodb_charset.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/funcs_2/r/innodb_charset.result
845443,1,845443,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/funcs_2/r/myisam_charset.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/funcs_2/r/myisam_charset.result
845443,1,845443,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/funcs_2/r/memory_charset.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/funcs_2/r/memory_charset.result
803903,1,803903,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/t/tc_multicolumn_different.test;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/t/tc_multicolumn_different.test
779260,1,779260,/usr/local/boost_old/include/boost/phoenix/statement/detail/preprocessed/switch_40.hpp;/usr/local/boost/include/boost/phoenix/statement/detail/preprocessed/switch_40.hpp
777409,1,777409,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/iuds/t/type_bit_iuds.test;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/iuds/t/type_bit_iuds.test
